國家,日期,總確診數,新增死亡數
台灣,2020-01-16,0,0
台灣,2020-01-17,0,0
台灣,2020-01-18,0,0
台灣,2020-01-19,0,0
台灣,2020-01-20,0,0
台灣,2020-01-21,0,0
台灣,2020-01-22,1,0
台灣,2020-01-23,1,0
台灣,2020-01-24,3,0
台灣,2020-01-25,3,0
台灣,2020-01-26,4,0
台灣,2020-01-27,5,0
台灣,2020-01-28,8,0
台灣,2020-01-29,8,0
台灣,2020-01-30,9,0
台灣,2020-01-31,10,0
台灣,2020-02-01,10,0
台灣,2020-02-02,10,0
台灣,2020-02-03,10,0
台灣,2020-02-04,11,0
台灣,2020-02-05,11,0
台灣,2020-02-06,16,0
台灣,2020-02-07,16,0
台灣,2020-02-08,17,0
台灣,2020-02-09,18,0
台灣,2020-02-10,18,0
台灣,2020-02-11,18,0
台灣,2020-02-12,18,0
台灣,2020-02-13,18,0
台灣,2020-02-14,18,0
台灣,2020-02-15,18,0
台灣,2020-02-16,20,1
台灣,2020-02-17,22,0
台灣,2020-02-18,22,0
台灣,2020-02-19,23,0
台灣,2020-02-20,24,0
台灣,2020-02-21,26,0
台灣,2020-02-22,26,0
台灣,2020-02-23,28,0
台灣,2020-02-24,30,0
台灣,2020-02-25,31,0
台灣,2020-02-26,32,0
台灣,2020-02-27,32,0
台灣,2020-02-28,34,0
台灣,2020-02-29,39,0
台灣,2020-03-01,40,0
台灣,2020-03-02,41,0
台灣,2020-03-03,42,0
台灣,2020-03-04,42,0
台灣,2020-03-05,44,0
台灣,2020-03-06,45,0
台灣,2020-03-07,45,0
台灣,2020-03-08,45,0
台灣,2020-03-09,45,0
台灣,2020-03-10,47,0
台灣,2020-03-11,48,0
台灣,2020-03-12,49,0
台灣,2020-03-13,50,0
台灣,2020-03-14,53,0
台灣,2020-03-15,59,0
台灣,2020-03-16,67,0
台灣,2020-03-17,77,0
台灣,2020-03-18,100,0
台灣,2020-03-19,108,0
台灣,2020-03-20,135,1
台灣,2020-03-21,153,0
台灣,2020-03-22,169,0
台灣,2020-03-23,195,0
台灣,2020-03-24,215,0
台灣,2020-03-25,235,0
台灣,2020-03-26,252,0
台灣,2020-03-27,267,0
台灣,2020-03-28,283,0
台灣,2020-03-29,298,0
台灣,2020-03-30,306,3
台灣,2020-03-31,322,0
台灣,2020-04-01,329,0
台灣,2020-04-02,339,0
台灣,2020-04-03,348,0
台灣,2020-04-04,355,0
台灣,2020-04-05,363,0
台灣,2020-04-06,373,0
台灣,2020-04-07,376,0
台灣,2020-04-08,379,0
台灣,2020-04-09,380,0
台灣,2020-04-10,382,1
台灣,2020-04-11,385,0
台灣,2020-04-12,388,0
台灣,2020-04-13,393,0
台灣,2020-04-14,393,0
台灣,2020-04-15,395,0
台灣,2020-04-16,395,0
台灣,2020-04-17,395,0
台灣,2020-04-18,398,0
台灣,2020-04-19,420,0
台灣,2020-04-20,422,0
台灣,2020-04-21,425,0
台灣,2020-04-22,426,0
台灣,2020-04-23,427,0
台灣,2020-04-24,428,0
台灣,2020-04-25,429,0
台灣,2020-04-26,429,0
台灣,2020-04-27,429,0
台灣,2020-04-28,429,0
台灣,2020-04-29,429,0
台灣,2020-04-30,429,0
台灣,2020-05-01,429,0
台灣,2020-05-02,432,0
台灣,2020-05-03,436,0
台灣,2020-05-04,438,0
台灣,2020-05-05,438,0
台灣,2020-05-06,439,0
台灣,2020-05-07,440,0
台灣,2020-05-08,440,0
台灣,2020-05-09,440,0
台灣,2020-05-10,440,0
台灣,2020-05-11,440,1
台灣,2020-05-12,440,0
台灣,2020-05-13,440,0
台灣,2020-05-14,440,0
台灣,2020-05-15,440,0
台灣,2020-05-16,440,0
台灣,2020-05-17,440,0
台灣,2020-05-18,440,0
台灣,2020-05-19,440,0
台灣,2020-05-20,440,0
台灣,2020-05-21,440,0
台灣,2020-05-22,441,0
台灣,2020-05-23,441,0
台灣,2020-05-24,441,0
台灣,2020-05-25,441,0
台灣,2020-05-26,441,0
台灣,2020-05-27,441,0
台灣,2020-05-28,441,0
台灣,2020-05-29,442,0
台灣,2020-05-30,442,0
台灣,2020-05-31,442,0
台灣,2020-06-01,443,0
台灣,2020-06-02,443,0
台灣,2020-06-03,443,0
台灣,2020-06-04,443,0
台灣,2020-06-05,443,0
台灣,2020-06-06,443,0
台灣,2020-06-07,443,0
台灣,2020-06-08,443,0
台灣,2020-06-09,443,0
台灣,2020-06-10,443,0
台灣,2020-06-11,443,0
台灣,2020-06-12,443,0
台灣,2020-06-13,443,0
台灣,2020-06-14,443,0
台灣,2020-06-15,445,0
台灣,2020-06-16,445,0
台灣,2020-06-17,445,0
台灣,2020-06-18,446,0
台灣,2020-06-19,446,0
台灣,2020-06-20,446,0
台灣,2020-06-21,446,0
台灣,2020-06-22,446,0
台灣,2020-06-23,446,0
台灣,2020-06-24,446,0
台灣,2020-06-25,447,0
台灣,2020-06-26,447,0
台灣,2020-06-27,447,0
台灣,2020-06-28,447,0
台灣,2020-06-29,447,0
台灣,2020-06-30,447,0
台灣,2020-07-01,447,0
台灣,2020-07-02,448,0
台灣,2020-07-03,449,0
台灣,2020-07-04,449,0
台灣,2020-07-05,449,0
台灣,2020-07-06,449,0
台灣,2020-07-07,449,0
台灣,2020-07-08,449,0
台灣,2020-07-09,449,0
台灣,2020-07-10,449,0
台灣,2020-07-11,451,0
台灣,2020-07-12,451,0
台灣,2020-07-13,451,0
台灣,2020-07-14,451,0
台灣,2020-07-15,451,0
台灣,2020-07-16,451,0
台灣,2020-07-17,451,0
台灣,2020-07-18,451,0
台灣,2020-07-19,451,0
台灣,2020-07-20,451,0
台灣,2020-07-21,451,0
台灣,2020-07-22,455,0
台灣,2020-07-23,455,0
台灣,2020-07-24,458,0
台灣,2020-07-25,458,0
台灣,2020-07-26,458,0
台灣,2020-07-27,462,0
台灣,2020-07-28,467,0
台灣,2020-07-29,467,0
台灣,2020-07-30,467,0
台灣,2020-07-31,467,0
台灣,2020-08-01,474,0
台灣,2020-08-02,475,0
台灣,2020-08-03,474,0
台灣,2020-08-04,476,0
台灣,2020-08-05,476,0
台灣,2020-08-06,477,0
台灣,2020-08-07,477,0
台灣,2020-08-08,479,0
台灣,2020-08-09,477,0
台灣,2020-08-10,477,0
台灣,2020-08-11,480,0
台灣,2020-08-12,481,0
台灣,2020-08-13,481,0
台灣,2020-08-14,481,0
台灣,2020-08-15,482,0
台灣,2020-08-16,484,0
台灣,2020-08-17,485,0
台灣,2020-08-18,486,0
台灣,2020-08-19,486,0
台灣,2020-08-20,486,0
台灣,2020-08-21,487,0
台灣,2020-08-22,487,0
台灣,2020-08-23,487,0
台灣,2020-08-24,487,0
台灣,2020-08-25,487,0
台灣,2020-08-26,487,0
台灣,2020-08-27,487,0
台灣,2020-08-28,487,0
台灣,2020-08-29,488,0
台灣,2020-08-30,488,0
台灣,2020-08-31,488,0
台灣,2020-09-01,488,0
台灣,2020-09-02,489,0
